Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
4698,70.628,-51.683,-236.58,-7,25.7,29.7,65.138,-50.883,-232.852
4699,-23.566,22.187,-195.851,-5.3,-19,-23.2,-21.466,20.101,-197.594
4700,-50.3,-45.537,-198.088,-2.3,-29.6,5.7,-47.392,-41.082,-198.993
4701,-35.791,71.557,-211.502,20.7,2.9,-19.6,-30.944,66.283,-212.098
4702,-55.046,89.473,-218.023,35.5,10.4,-14.5,-47.597,83.896,-218.854
4703,-59.813,67.681,-226.315,33.8,6.8,-7.2,-52.473,63.066,-226.154
4704,-85.848,-58.569,-199.826,15,-30,19,-81.2,-52.892,-200.434
4705,-91.586,-47.301,-227.879,30.4,-12.7,28.4,-86.245,-43.107,-226.326
4706,-99.801,32.173,-207.182,33.6,-15.9,-4.6,-90.769,29.822,-209.088
4707,61.264,-33.981,-193.293,-33.7,0.4,-0.3,55.909,-33.435,-193.937
4708,10.874,36.835,-222.949,4,9.3,-9.1,10.515,32.714,-221.41
4709,43.483,16.927,-239.132,3.4,23,6.7,40.256,13.38,-236.066
4710,-52.171,-12.16,-226.983,16.2,-8.9,8.9,-47.988,-11.257,-225.108
4711,-79.322,-84.079,-213.529,19.7,-20,34.7,-76.167,-76.118,-212.88
4712,-26.466,-120.659,-228.953,11.8,-1.2,50,-27.196,-110.088,-227.845
4713,96.966,-64.255,-201.774,-28.4,21.6,25.1,89.741,-62.858,-200.31
4714,17.148,36.768,-212.221,-3.5,5.4,-15.6,16.053,32.55,-211.768
4715,-27.165,-71.074,-226.082,5.3,-7.9,27.5,-26.303,-64.857,-223.863
4716,-83.151,68.904,-213.291,37.5,-1.7,-10.9,-74.046,64.638,-215.066
4717,52.679,-22.234,-211.734,-19.4,7.7,4.1,48.191,-22.792,-210.263
4718,88.661,-4.189,-204.684,-24.1,21.8,0.9,81.333,-7.961,-204.382
4719,-73.472,-92.793,-194.288,8.1,-31,30.3,-71.175,-83.515,-195.467
4720,-94.934,-30.212,-230.7,33.5,-10.4,24.4,-88.806,-27.716,-229.197
4721,-95.575,19.689,-195.639,24.9,-26.2,-9.7,-87.341,18.158,-198.237
4722,-41.242,-105.17,-204.268,0.9,-20.5,35.3,-40.766,-94.836,-204.679
4723,31.657,-118.527,-203.442,-17.5,-1,40.7,28.748,-108.9,-203.321
4724,-73.133,-22.199,-214.997,17.7,-18.9,9.2,-67.846,-20.191,-214.383
4725,94.606,-29.587,-216.578,-18.8,27.4,17.3,87.198,-31.533,-214.593
4726,-3.574,-4.977,-232.117,4.9,3.2,6.1,-3.263,-5.49,-229.146
4727,13.725,-72.084,-217.407,-10.6,-3.7,23.5,11.9,-66.611,-215.482
4728,107.658,-56.525,-192.341,-34.1,23,20.5,99.67,-56.486,-191.747
4729,-75.389,35.112,-231.831,33.9,0,3.4,-68.041,32.588,-231.084
4730,-64.831,-81.964,-227.804,20.3,-10.9,36.9,-62.341,-74.587,-225.983
4731,-70.105,56.571,-213.085,29.2,-5,-12.1,-62.636,52.62,-214.139
4732,111.946,-12.785,-192.41,-32.3,27.2,3.7,103.128,-17.234,-193.072
4733,-113.162,-42.929,-203.481,30.5,-26.8,21.4,-106.412,-39.096,-204.072
4734,5.925,-32.214,-207.195,-15,-11.8,1.6,4.762,-30.021,-206.614
4735,28.467,95.192,-200.626,7.4,21.9,-28.5,27.075,87.439,-202.019
4736,88.81,6.786,-233.659,-4.8,35.3,13.5,82.029,1.729,-231.226
4737,78.323,-76.378,-230.983,-10.1,27,38.2,72.831,-73.814,-227.371
4738,85.327,-14.533,-216.726,-17.5,24.4,10.1,78.353,-17.479,-214.945
4739,44.974,101.137,-216.693,15.5,35.8,-16.9,42.175,92.996,-216.978
4740,85.887,-20.214,-226.627,-12,28.5,17.1,79.164,-22.928,-223.912
4741,21.528,-53.609,-235.223,-1.9,8.3,24.4,19.502,-50.338,-231.641
4742,-89.183,53.781,-204.625,32.9,-11.8,-12.9,-80.026,50.042,-206.986
4743,24.577,98.138,-231.791,24.7,35.1,-9.6,24.09,90.777,-230.775
4744,3.142,46.76,-229.365,11.6,13.1,-7,4.019,42.217,-227.3
4745,-101.68,-2.426,-201.3,26.7,-25.8,1.9,-93.83,-2.288,-202.867
4746,-32.621,-75.225,-194.181,-11.5,-29.2,15.7,-31.781,-67.679,-195.498
4747,-13.436,-74.87,-228.415,2.7,-3.8,29.4,-13.611,-68.52,-225.879
4748,-31.311,20.34,-214.161,7.3,-8.8,-9.8,-28.207,18.472,-213.601
4749,102.75,21.632,-205.507,-19.2,32.4,-2.3,94.338,15.026,-206.116
4750,72.077,67.975,-202.549,-7.8,29,-19.8,66.119,60.018,-204.162
4751,-68.706,71.655,-223.088,36.6,5.5,-8.1,-60.257,67.049,-223.698
4752,-72.627,22.189,-211.46,21.8,-14.9,-6.1,-65.699,20.413,-211.921
4753,-4.017,-44.489,-209.715,-11.3,-13.4,7.9,-4.401,-40.934,-208.767
4754,58.384,82.103,-201.988,-1.7,28,-23.7,53.735,74.163,-203.573
4755,14.413,-43.261,-222.139,-8,-0.9,14,12.908,-40.444,-219.689
4756,-5.941,-18.97,-217.92,-4.1,-7.1,2.7,-5.748,-17.895,-216.203
4757,42.608,60.861,-235.116,11.4,30.2,-3.4,39.894,54.507,-233.315
4758,-21.426,98.165,-239.573,37.6,29,-5.3,-17.021,91.964,-238.56
4759,-44.71,53.469,-230.549,27,6.6,-4.9,-39.222,49.332,-229.362
4760,10.348,-104.063,-211.726,-10.5,-5.2,35.6,8.471,-95.107,-210.91
4761,-17.479,-51.244,-233.635,6.3,-2,22.6,-16.808,-47.217,-230.57
4762,67.494,-101.723,-194.094,-29.8,6.2,33.6,62.732,-94.973,-193.783
4763,-28.435,68.049,-213.704,18.3,4.2,-18.5,-24.453,62.865,-213.826
4764,-101.942,-46.543,-209.984,27.5,-23.4,22.6,-95.816,-42.464,-209.87
4765,-5.503,40.479,-225.351,10.1,7.4,-8.4,-4.31,36.518,-223.782
4766,-85.634,79.151,-208.811,39.8,-0.8,-14,-75.868,74.33,-211.362
4767,14.183,112.444,-224.608,28.9,34.8,-14.5,15.176,104.865,-224.16
4768,-36.842,5.347,-208.246,3.3,-16.3,-9,-33.481,4.666,-208.224
4769,50.51,113.97,-194.602,9.2,34.3,-29.8,47.056,105.352,-196.888
4770,11.579,69.572,-216.013,9.4,15,-18,11.554,63.438,-215.498
4771,-87.668,36.001,-193.833,23.8,-23.8,-17,-79.388,33.228,-196.853
4772,15.617,-11.07,-225.347,-4,3.7,4.5,14.29,-11.486,-222.797
4773,-83.488,-14.34,-232.096,30.3,-8.2,17.5,-77.213,-13.101,-230.523
4774,-5.366,-16.823,-196.333,-18,-21,-11.1,-5.564,-15.705,-197.443
4775,-42.641,-61.105,-191.147,-9.9,-33.6,8.3,-40.82,-54.962,-192.853
4776,44.424,-9.784,-218.839,-12.7,9.6,2.7,40.533,-11.05,-216.971
4777,-2.421,-95.466,-212.614,-7.9,-9.1,31.8,-3.428,-86.914,-211.746
4778,43.066,99.447,-192.07,2,24.9,-32.8,39.974,91.338,-194.518
4779,-85.861,3.569,-191.649,15.8,-31.9,-10.1,-79.03,3.314,-194.156
4780,50.954,110.826,-225.825,23.4,44.5,-10.9,47.932,102.649,-225.882
4781,30.132,-96.009,-211.158,-15.7,-0.3,32.5,27.28,-88.437,-209.917
4782,-53.454,-22.851,-230.341,17.4,-8,14.2,-49.527,-20.886,-228.067
4783,86.808,59.232,-213.862,-4.6,36.6,-8.6,79.79,51.236,-214.579
4784,-118.429,35.814,-226.975,49.4,-2.7,11.3,-107.954,33.044,-228.578
4785,21.996,61.984,-215.999,4.8,15.6,-16.8,20.924,56.2,-215.507
4786,-50.326,31.049,-228.022,22.6,-1,-1.9,-45.038,28.386,-226.728
4787,-32.68,-20.562,-204.948,-3.6,-21.2,-2.8,-30.344,-18.766,-204.984
4788,4.414,-4.918,-197.073,-18.7,-16.1,-15,3.62,-5.1,-198.199
4789,19.734,-41.541,-205.838,-19.5,-8.9,5.1,17.751,-38.94,-205.213
4790,21.52,-52.49,-216.741,-12.9,-2,15.3,19.405,-49.009,-214.782
4791,-21.145,99.553,-209.24,25.1,15,-23.5,-16.942,92.888,-210.023
4792,116.267,8.036,-226.101,-8.6,44.1,16.5,107.647,1.351,-225.007
4793,-79.384,-78.438,-225.373,25,-13.3,36.9,-75.997,-71.391,-223.846
4794,-69.452,-85.296,-204.952,11.1,-24.8,30,-66.768,-76.981,-205.085
4795,10.291,-59.524,-205.305,-17.9,-12.5,12.3,8.711,-54.74,-204.821
4796,-15.622,18.457,-226.774,8.8,1.3,-2.7,-13.973,16.486,-224.771
4797,-27.037,108.713,-234.73,40.7,29.9,-7.9,-21.523,102.533,-234.223
4798,-87.437,-65.654,-229.765,29.8,-11.5,35.3,-83.158,-59.861,-228.002
4799,55.591,-66.618,-220.891,-15,12.4,26.2,51.122,-63.105,-218.347
4800,-17.281,108.492,-198.581,23.1,14.4,-30.4,-13.379,101.506,-200.231
4801,12.02,106.353,-238.234,33,37.8,-6.6,13.191,99.299,-237.108
4802,-91.65,23.022,-195.494,23.6,-25.7,-11.8,-83.502,21.143,-198.132
4803,-0.452,81.459,-222.713,19.4,19.2,-15,1.185,75.167,-222.009
4804,-25.477,6.484,-191.128,-11,-26.2,-22,-23.255,5.774,-193.382
4805,93.574,71.165,-220.369,2.9,44.6,-4.6,86.251,62.523,-221.2
4806,3.716,34.682,-221.84,4.6,6.4,-9.5,4.192,30.801,-220.265
4807,72.869,-85.566,-215.797,-18.3,18.1,35,67.429,-81.232,-213.283
