X,Y,Z
1872.438,-1135.568,-500.514
1772.056,-1133.24,-519.874
1864.972,-1096.707,-518.449
1836.887,-1111.521,-506.115
1767.974,-1040.882,-503.766
1851.735,-1026.176,-497.62
1834.11,-1145.482,-503.989
1898.84,-1072.058,-493.469
1783.9,-1029.38,-516.304
1820.114,-1043.219,-505.037
1802.05,-1114.027,-514.521
1845.337,-1149.524,-503.627
1906.948,-1094.187,-503.672
1827.658,-1079.95,-506.127
1749.257,-1147.484,-512.878
1866.076,-1109.046,-511.509
1839.522,-1079.395,-513.282
1788.718,-1031.293,-507.361
1843.357,-1151.501,-515.563
1805.413,-1046.057,-514.892
1826.773,-1072.056,-498.948
1832.965,-1098.439,-511.48
1862.484,-1131.23,-512.895
1869.909,-1013.995,-502.343
1802.078,-1133.885,-515.531
1822.867,-1029.869,-514.886
1728.938,-1094.41,-499.387
1855.149,-1158.82,-504.809
1845.527,-1052.584,-505.549
1823.544,-1058.718,-495.607
1821.034,-1040.795,-509.165
1880.231,-1105.918,-510.22
1747.863,-1041.642,-523.204
1900.921,-1083.782,-508.102
1839.323,-1116.038,-519.054
1731.311,-1077.637,-520.381
1806.664,-1112.21,-501.504
1777.398,-1056.388,-510.378
1822.66,-995.921,-523.271
1875.833,-1050.207,-512.232
1837.18,-1115.914,-499.828
1773.067,-1086.097,-521.001
1788.18,-1073.432,-517.665
1761.874,-1111.179,-504.614
1881.061,-1122.69,-507.612
1808.687,-1062.036,-496.133
1777.675,-1026.286,-522.569
1894.115,-1121.154,-500.447
1849.578,-1080.771,-509.446
1802.849,-1110.627,-515.465
1866.599,-1117.083,-520.431
1802.111,-1058.328,-502.378
1866.025,-1116.013,-497.5
1840.028,-1167.609,-516.705
1833.415,-1071.513,-514.838
1833.669,-1158.312,-517.489
1870.079,-1154.611,-515.605
1805.776,-1085.926,-495.78
1788.909,-1146.038,-511.202
1829.213,-1171.789,-517.623
1782.734,-1013.16,-505.311
1838.043,-1127.087,-517.304
1767.047,-1154.377,-517.489
1861.745,-1062.627,-519.379
1823.342,-1042.389,-515.629
1885.82,-1026.118,-512.826
1845.494,-1005.908,-522.003
1891.93,-1073.406,-504.232
1748.829,-1108.687,-516.539
1830.515,-1028.582,-496.565
1847.394,-1168.171,-503.151
1842.242,-1026.761,-517.439
1836.501,-1090.779,-506.407
1870.49,-1141.9,-494.318
1858.127,-1125.174,-502.356
1900.662,-1085.777,-504.366
1860.962,-1088.358,-498.28
1852.569,-1078.671,-509.662
1857.041,-1039.217,-495.904
1749.227,-1129.601,-513.455
1828.911,-1037.729,-519.752
1735.003,-1072.133,-509.948
1865.133,-1106.657,-505.238
1822.932,-1049.612,-517.663
1801.353,-1153.04,-510.041
1790.554,-1020.4,-510.355
1875.136,-1128.256,-506.128
1777.956,-1095.837,-502.534
1783.514,-1051.067,-516.475
1739.62,-1094.029,-499.69
1738.016,-1075.258,-521.579
1791.625,-1132.473,-517.875
1798.59,-1048.751,-511.452
1818.818,-1105.775,-512.707
1882.719,-1076.631,-497.04
1869.894,-1109.624,-503.79
1811.872,-1076.028,-504.676
1768.649,-1089.949,-501.825
1810.495,-992.741,-516.221
1729.908,-1081.826,-509.784
1874.627,-1142.127,-504.738
1835.014,-1029.431,-516.829
1788.941,-1002.529,-514.784
1875.352,-1061.141,-519.364
1834.192,-1045.207,-501.223
1739.482,-1127.252,-508.473
1730.962,-1101.593,-514.79
1783.313,-1057.272,-501.57
1838.73,-1001.503,-507.444
1755.322,-1056.991,-517.874
1867.163,-1082.846,-509.467
1775.045,-1013.955,-507.676
1876.91,-1068.059,-498.164
1882.999,-1031.637,-509.032
1820.882,-1096.612,-511.37
1882.597,-1062.83,-516.972
1818.952,-1043.273,-497.854
1778.522,-1085.087,-505.807
1892.582,-1067.795,-503.319
1810.046,-1025.005,-521.377
1762.164,-1081.609,-499.769
1848.364,-1003.111,-515.451
1890.54,-1115.349,-514.809
1828.126,-1164.943,-518.274
1876.971,-1092.328,-502.852
