orig_x,orig_y,orig_z,comp_x,comp_y,comp_z,pred_err_x,pred_err_y,pred_err_z
45.329313662871826,-73.49687331,-216.3762084,48.69974976226709,-80.04190336,-218.0397704,-3.370436099,6.545030049308508,1.663561942315397
-8.245496385,-22.71938908,-215.3084615,-7.946293102,-24.82748055,-216.4993692,-0.299203284,2.1080914722524575,1.1909077568314785
-36.44828657,65.92238018747265,-225.4537858,-38.5086642,70.84465356342187,-226.4424684,2.060377634134632,-4.922273376,0.988682635141032
-29.63771718,29.050527704724153,-205.9129841,-30.88546548,31.563144948022526,-205.5071206,1.2477483063072405,-2.512617243,-0.40586355
32.84337048718873,76.13756376045774,-209.539037,37.936447242688004,81.468738665935,-209.0986277,-5.093076755,-5.331174905,-0.440409378
-8.040950472,5.918360469915307,-205.8708661,-7.358042111,6.426119323924853,-205.7010522,-0.682908361,-0.507758854,-0.169813867
31.12982044828015,-1.663744491,-210.1952903,34.877917492629635,-1.656723464,-210.8239455,-3.748097044,-0.007021028,0.628655165444286
-96.13355512,-9.453135892,-221.1014417,-102.4593252,-8.968581048,-221.6200281,6.325770089397594,-0.484554843,0.5185864540765976
24.390863358275464,-56.9492713,-226.1299056,26.658489106687647,-62.06780071,-228.5819547,-2.267625748,5.118529416063133,2.452049151381061
-44.49937871,71.38342962707725,-222.4097544,-47.40313822,76.6247694104045,-222.9236958,2.9037595113056156,-5.241339783,0.5139413883159989
49.654172220339454,51.69878782735585,-231.9062876,55.68974550269063,55.855266847338655,-233.4622639,-6.035573282,-4.15647902,1.5559763026500946
-33.77936685,26.773671237562613,-209.9642295,-35.39217257,29.06373041457835,-209.9135512,1.612805721735178,-2.290059177,-0.050678343
-49.91176595,10.85326474245372,-217.6935979,-52.94718531,12.029963360945036,-218.4767495,3.0354193614076905,-1.176698618,0.7831516841384314
52.229633997509815,26.708667512465503,-206.8639649,58.36373653139658,29.22508381948667,-206.539682,-6.134102534,-2.516416307,-0.324282826
74.76775417307874,20.735080657798264,-212.4650094,82.57679862936061,23.36453234831137,-212.6306261,-7.809044456,-2.629451691,0.16561671208160078
29.46713814492771,-72.52851339,-219.1115245,31.846070952331004,-79.21127788,-220.8599356,-2.378932807,6.682764488655792,1.7484111055318579
6.323894139627169,-99.05462746,-232.5625384,6.950337641436954,-107.9371892,-234.4963995,-0.626443502,8.88256172976648,1.9338610553012359
-51.19976194,-12.09085524,-229.4964504,-54.31375805,-12.80538868,-231.5498466,3.1139961037627444,0.7145334460229495,2.0533962101913232
4.617175847117132,18.525069058300076,-213.8035428,6.414433300145518,19.769630075218316,-214.4366754,-1.797257453,-1.244561017,0.633132629260615
14.21106960628675,16.080136187892577,-229.492567,16.593808218921158,17.36489273711328,-231.9111137,-2.382738613,-1.284756549,2.4185466606991213
26.87216653434852,9.070443516281365,-205.2083853,30.555448333589617,9.985132943207262,-205.1099469,-3.683281799,-0.914689427,-0.098438419
57.45813765178451,16.643761309851318,-222.1875658,63.62789563437957,18.554922407605467,-223.5824832,-6.169757983,-1.911161098,1.3949174668465787
74.64267006873855,47.93089843887848,-220.509623,82.69412309646148,52.08452942170227,-220.7716568,-8.051453028,-4.153630983,0.26203385956304714
30.05733011878806,-51.42138747,-214.6290819,32.82808873489057,-56.0853401,-216.0806888,-2.770758616,4.66395262833808,1.451606891455583
18.92882163266554,56.36038748859494,-222.0900337,22.187361855113792,60.489634840471126,-223.1948378,-3.258540222,-4.129247352,1.1048041749849062
45.33419198606433,-80.23141212,-211.2831488,48.55793322749976,-87.5456642,-212.4204999,-3.223741241,7.314252082000053,1.1373510723880145
-44.45064003,9.015164063146388,-221.9420762,-46.98926986,10.018491120677542,-223.2240878,2.538629834006109,-1.003327058,1.282011548288466
52.30517421555886,-26.40491419,-223.9557785,57.15344306612748,-28.27536259,-226.2249268,-4.848268851,1.870448399788799,2.2691482627401456
67.72818202415624,7.806543160322461,-224.5647316,74.48900259811717,9.178779699093408,-226.1807937,-6.760820574,-1.372236539,1.6160621205105201
12.298977785947159,45.6639074958297,-215.9261718,14.906335698847442,49.09860890645432,-216.5829801,-2.607357913,-3.434701411,0.6568083614603779
39.68567298917706,34.57722303208782,-216.0383605,44.764358978842395,37.58337634676842,-216.7482602,-5.07868599,-3.006153315,0.7098997602345207
-32.49246135,23.25484865908022,-228.7829641,-34.01084357,25.209989905440715,-230.5921732,1.5183822199342956,-1.955141246,1.809209176903579
24.23302332459607,-74.5600636,-231.1514228,26.200717288230223,-81.22255182,-233.7861831,-1.967693964,6.66248822266995,2.634760249944179
37.89970455574267,9.755012260510536,-216.8578317,42.35302086685644,10.703768226770585,-218.0207324,-4.453316311,-0.948755966,1.16290070403997
14.774454496635041,76.97499485186728,-223.0259846,17.78793887760846,82.13101997717206,-223.8343942,-3.013484381,-5.156025125,0.8084095701101717
-37.44201754,59.97464619197905,-221.0107251,-39.5267963,64.3032734020245,-221.5015374,2.0847787657713397,-4.32862721,0.4908123317383115
-35.43907938,-36.2935802,-221.2705319,-37.25980397,-39.58120567,-222.8602013,1.8207245871540323,3.2876254623649785,1.5896694393739494
-12.27474456,-33.70576941,-216.9670705,-12.41530334,-36.88405394,-218.4181345,0.14055877328560484,3.1782845209890738,1.451064017868191
33.77676642145133,41.918714384355155,-230.4912355,38.24409413745832,45.28691836221617,-232.4288363,-4.467327716,-3.368203978,1.937600849072453
-30.2298199,44.31527137371773,-233.4110139,-31.66692091,47.76544570153702,-235.3506839,1.4371010105029747,-3.450174328,1.939669932520502
-90.05741376,10.436926949648972,-229.9804216,-96.19346368,12.374294496832125,-230.8385745,6.136049924892021,-1.937367547,0.8581529173214051
72.590053038268,66.18595657965143,-206.9118732,81.17269030505162,71.48018952649036,-205.6494452,-8.582637267,-5.294232947,-1.262427993
-16.4822292,77.2804516678017,-209.5452172,-16.62590592,82.57087495425574,-209.1798356,0.14367672321392533,-5.290423286,-0.365381592
47.88269401408789,-77.01349236,-214.9717336,51.324691311867184,-83.87192491,-216.5107279,-3.441997298,6.85843254615429,1.538994330828075
88.64948234660451,-17.36064727,-205.1210378,96.59742660727153,-17.52884116,-205.4048258,-7.947944261,0.16819388806112912,0.2837880385170024
27.445833942188468,-58.54030207,-210.5974812,29.925948661354475,-64.02085453,-211.5820627,-2.480114719,5.480552465614714,0.9845814522560943
65.21338465266362,7.136703796619603,-220.4376497,71.83502583608896,8.371218338478464,-221.7520999,-6.621641183,-1.234514542,1.3144502069045814
37.57998502181753,75.46549457695144,-205.8399765,43.16826891753642,80.84555519394195,-204.9357514,-5.588283896,-5.380060617,-0.904225137
76.01050714072035,-24.56176496,-207.7605863,82.83076769940945,-25.84706546,-208.4525843,-6.820260559,1.285300497039696,0.6919980371276608
55.35207318727384,73.18145726710262,-228.0422181,62.15953349002619,78.38103434621695,-228.8195741,-6.807460303,-5.199577079,0.7773560077993125
-8.093845535,-78.63507351,-213.9080774,-8.108688691,-86.4121682,-214.782204,0.014843155105793926,7.777094688621261,0.874126578465706
15.316771850164521,10.93314722682358,-230.0456968,17.745373458019472,11.817374775912786,-232.5745936,-2.428601608,-0.884227549,2.5288968235137474
