Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
5688,-32,-67.102,-219.268,2.9,-13,23.2,-30.473,-60.914,-217.964
5689,-58.227,20.208,-236.826,27.3,1,6.5,-54.634,18.307,-234.852
5690,-20.565,-121.355,-195.081,-9.3,-20.3,38.7,-19.924,-109.241,-197.278
5691,108.264,2.668,-235.783,-4,43.7,20.6,98.872,0.116,-234.294
5692,-46.715,35.752,-220.091,18.7,-4.1,-7.9,-43.61,32.656,-219.362
5693,63.298,-5.042,-206.533,-22,11.3,-3.1,56.792,-5.206,-206.396
5694,108.176,-62.225,-196.577,-31.3,25.2,25.1,100.56,-58.835,-195.848
5695,38.182,24.897,-227.25,-1.2,17.1,-2.4,33.288,22.718,-225.331
5696,-82.171,41.324,-208.627,28.5,-12.7,-9.9,-75.992,37.311,-209.94
5697,-4.423,-80.076,-222.693,-2.7,-4.9,29,-4.53,-72.522,-221.039
5698,-10.284,-85.471,-211.046,-7.6,-12.9,26.6,-10.079,-77.173,-210.634
5699,99.711,37.883,-234.681,1.7,44.9,9.9,90.062,33.612,-234.182
5700,-8.518,-9.087,-206.906,-9,-13.6,-7.1,-8.966,-8.117,-206.742
5701,17.592,-104.293,-219.052,-7.6,1.2,38.6,16.496,-94.539,-218.035
5702,13.038,-42.113,-194.706,-25.9,-18.6,-1.2,11.046,-37.69,-196.076
5703,-11.552,-41.317,-211.485,-8,-14,7.7,-11.422,-37.189,-210.67
5704,57.987,-39.767,-205.782,-24.9,5.5,8.4,52.849,-36.471,-205.344
5705,-99.35,7.159,-192.846,23.5,-30.2,-6.8,-92.711,5.196,-195.389
5706,-56.001,-50.975,-199.677,1,-29,9.7,-52.889,-46.282,-200.551
5707,-63.58,-23.815,-235.587,23.5,-5.9,18.6,-59.809,-22.257,-233.245
5708,-62.941,48.707,-218.552,26.8,-3.5,-8.9,-58.756,44.702,-218.578
5709,-16.484,73.074,-229.876,24,16.6,-9.7,-16.244,68.153,-228.584
5710,62.443,-2.451,-214.277,-16.5,15.1,0.4,56.28,-3.066,-213.192
5711,-103.705,11.831,-193.846,26.8,-28.6,-6.2,-96.729,9.345,-196.42
5712,-88.966,-3.534,-202.746,21.1,-25.3,-0.3,-82.869,-4.28,-203.875
5713,99.991,-8.353,-191.029,-33.5,21,-2.4,91.059,-9.346,-192.562
5714,20.183,93.314,-191.637,3.4,14.5,-35.1,16.101,87.337,-193.775
5715,-9.15,-108.884,-190.235,-18.3,-23.2,30.2,-8.845,-97.925,-192.67
5716,4.521,-56.013,-236.119,2.1,4.2,25.2,3.225,-50.901,-233.019
5717,8.73,52.677,-234.803,14.7,18.7,-4.6,6.516,48.729,-232.682
5718,-42.879,-115.644,-195.139,-2,-24.9,37.5,-41.362,-104.55,-197.129
5719,-46.715,50.456,-210.333,17.8,-6.1,-16.6,-43.861,46.495,-210.792
5720,51.465,-56.251,-203.995,-25.6,1.5,13.5,47.365,-51.344,-203.508
5721,-8.724,-79.539,-225.077,-0.2,-4.5,29.8,-8.591,-72.125,-223.199
5722,104.268,-46.194,-223.64,-15.1,34.3,29.2,96.533,-44.182,-221.535
5723,-39.614,-12.825,-201.181,-2.3,-24.1,-7.2,-37.575,-11.661,-201.926
5724,108.122,24.49,-225.658,-6.3,42.7,9.9,98.139,20.767,-225.384
5725,-85.642,-66.664,-232.247,30.2,-10,36.3,-81.421,-61.845,-230.441
