target_x,target_y,target_z,theta1,theta2,theta3
7.8881,-67.9577,-226.838,-25.4859,-20.4732,13.2312
-25.0853,42.8292,-236.6436,6.8236,-8.1146,-22.7551
6.3986,73.3788,-214.6462,-6.5615,-2.4863,-45.2071
-15.7241,88.1504,-224.7038,13.7856,3.6696,-36.2645
-43.9533,20.4487,-213.522,-6.471,-37.5767,-34.9023
-70.0127,-52.7737,-198.4326,-12.2917,-56.9477,-3.3928
50.5258,78.476,-215.021,-14.7327,18.3765,-40.886
26.7503,66.1025,-216.589,-14.7249,3.4606,-42.5454
-71.3957,51.3142,-193.6032,7.7867,-48.4547,-54.3668
-47.4771,48.4568,-238.4117,18.4527,-8.9306,-19.3912
-90.5082,-19.3929,-233.237,22.7879,-27.7455,6.7648
-95.0019,-12.6782,-223.7684,21.5272,-34.2246,-0.9869
-49.2132,29.3344,-215.8722,0.2796,-33.5644,-34.3228
-24.3788,42.1117,-197.4884,-22.3338,-44.0667,-61.433
10.9695,-54.3263,-212.4929,-39.2185,-32.0596,-2.9644
-31.1477,-1.4887,-227.6553,-7.5794,-27.2692,-17.1361
31.3194,80.9237,-191.6462,-29.4055,-2.9646,-65.9009
-38.7405,-78.2142,-218.5649,-13.8779,-35.9316,17.8472
-55.961,63.9705,-211.7668,13.7323,-24.6902,-41.5023
-49.6277,-21.0345,-228.3621,-1.3589,-30.9137,-5.7412
-4.2971,10.7579,-231.9848,-12.1623,-14.8451,-19.8722
57.4617,55.5198,-236.0095,-9.6352,23.4696,-21.3627
-50.5972,-65.3571,-210.1589,-15.3331,-45.5613,7.1671
-73.414,18.0671,-224.2712,14.9359,-29.9872,-18.3369
23.4646,-78.4068,-232.7849,-23.1533,-9.5807,22.6885
10.1611,42.3872,-202.0429,-33.4851,-25.2963,-56.7454
-51.6108,62.705,-194.8013,1.5197,-41.1249,-59.4595
41.2827,74.198,-191.8746,-36.1887,-1.0886,-65.0473
-12.5348,83.2023,-193.218,-8.8539,-20.1987,-64.8307
-31.8867,12.61,-193.1744,-35.0264,-63.9917,-60.856
4.814,-87.4258,-196.5692,-48.7642,-45.2121,9.8365
96.8806,-13.1154,-195.2663,-58.6515,8.194,-22.5108
73.3221,29.0813,-207.6412,-42.1259,8.991,-36.4483
29.4743,-58.7437,-238.2838,-21.1312,-4.2154,15.6427
79.6869,-43.1493,-204.2722,-52.754,-1.3796,-4.1199
