x,y,z
421.914,-1815.717,-511.016
541.384,-1826.645,-499.649
427.318,-1734.743,-493.152
327.522,-1791.877,-488.528
520.158,-1834.481,-502.371
522.147,-1755.252,-487.473
346.684,-1780.476,-484.198
415.332,-1812.254,-500.275
509.134,-1729.51,-520.517
325.861,-1778.905,-498.564
451.193,-1722.921,-487.076
415.072,-1857.855,-499.248
480.253,-1742.503,-498.516
402.32,-1842.698,-491.924
516.645,-1826.196,-512.41
479.318,-1702.251,-512.853
424.356,-1795.353,-482.593
529.2,-1763.968,-516.9
408.187,-1738.331,-503.338
411.483,-1790.482,-486.838
542.676,-1781.441,-511.956
380.295,-1728.381,-524.232
508.675,-1746.607,-503.347
387.179,-1821.956,-486.7
516.751,-1717.414,-484.242
487.178,-1694.531,-501.567
441.292,-1858.659,-500.366
512.041,-1822.99,-515.429
428.919,-1831.284,-509.587
446.892,-1749.227,-523.118
355.724,-1859.121,-497.016
367.75,-1858.412,-497.312
399.688,-1858.628,-512.998
494.843,-1777.481,-513.807
374.266,-1811.972,-525.169
460.582,-1678.329,-489.556
532.246,-1784.446,-521.613
378.85,-1736.807,-483.96
449.599,-1769.541,-494.588
397.518,-1888.496,-504.243
467.472,-1783.859,-514.393
406.468,-1746.807,-495.305
504.842,-1799.946,-497.865
417.129,-1757.073,-500.812
489.257,-1820.614,-520.825
418.476,-1805.045,-508.772
473.843,-1771.979,-499.044
347.227,-1718.276,-525.707
473.409,-1689.593,-525.982
344.866,-1812.627,-513.897
498.201,-1737.004,-506.615
428.882,-1775.406,-490.164
379.703,-1687.485,-491.241
425.651,-1685.933,-520.138
428.449,-1728.377,-516.845
488.449,-1864.998,-519.464
522.518,-1820.816,-508.952
508.772,-1739.501,-483.155
519.805,-1839.599,-504.58
448.838,-1686.21,-492.194
467.174,-1895.023,-485.956
506.304,-1782.072,-508.181
510.573,-1831.696,-504.612
523.226,-1830.135,-483.605
469.782,-1725.768,-507.149
473.321,-1803.332,-493.335
470.995,-1777.715,-517.165
498.359,-1722.19,-513.16
316.702,-1783.735,-493.805
457.891,-1692.877,-514.38
419.02,-1884.25,-503.296
447.782,-1726.465,-486.49
438.96,-1735.783,-505.912
543.11,-1768.979,-524.612
528.782,-1734.378,-495.081
325.37,-1808.567,-523.776
500.93,-1873.673,-482.757
423.058,-1800.227,-515.959
442.135,-1848.214,-481.781
351.552,-1826.809,-486.571
413.772,-1881.639,-481.974
358.763,-1767.432,-523.161
360.426,-1840.083,-486.605
457.46,-1790.283,-491.734
368.463,-1816.173,-505.17
535.2,-1813.494,-500.179
419.888,-1821.717,-489.942
475.408,-1877.805,-495.249
459.669,-1787.921,-489.659
364.323,-1821.606,-513.453
340.712,-1815.742,-501.832
331.507,-1765.945,-486.362
426.723,-1840.638,-521.655
369.403,-1711.819,-490.371
336.647,-1749.301,-499.462
447.205,-1720.89,-526.87
436.663,-1801.635,-519.715
401.581,-1809.317,-498.929
397.249,-1721.967,-512.304
479.479,-1817.694,-503.214
372.977,-1785.312,-489.037
484.358,-1839.634,-490.093
397.179,-1710.977,-490.507
407.372,-1724.055,-486.547
360.65,-1835.315,-520.207
434.001,-1684.239,-518.136
425.274,-1724.341,-509.387
367.081,-1702.299,-518.723
478.718,-1849.054,-490.508
401.519,-1896.383,-483.815
474.676,-1713.941,-520.109
452.318,-1868.792,-524.125
486.589,-1835.834,-521.835
438.031,-1837.362,-501.807
413.214,-1819.708,-523.882
372.547,-1785.352,-521.821
419.572,-1777.825,-521.204
486.368,-1706.999,-508.392
433.382,-1790.841,-514.391
328.755,-1761.756,-501.942
436.096,-1721.473,-493.501
320.538,-1801.904,-514.569
456.141,-1809.808,-491.541
391.893,-1698.451,-495.332
453.631,-1887.146,-521.821
458.381,-1781.855,-507.152
507.432,-1860.77,-480.803
406.528,-1732.519,-486.944
492.9,-1723.994,-499.357
488.45,-1698.889,-510.201
526.919,-1763.652,-524.59
372.115,-1805.076,-513.138
477.195,-1701.585,-495.963
498.678,-1819.842,-507.972
411.677,-1898.2,-496.401
482.642,-1787.742,-517.899
490.601,-1780.824,-490.37
518.294,-1728.037,-513.978
399.65,-1748.058,-501.502
376.898,-1747.139,-504.994
344.247,-1762.928,-513.082
471.306,-1841.866,-507.519
475.818,-1765.602,-483.185
325.225,-1768.302,-496.494
365.326,-1719.335,-522.422
349.646,-1865.185,-520.202
381.416,-1855.969,-495.122
420.022,-1773.907,-517.061
431.404,-1696.825,-488.647
334.796,-1826.902,-513.291
433.831,-1880.617,-497.59
427.292,-1810.163,-520.071
446.134,-1772.429,-519.105
373.641,-1788.779,-482.833
428.172,-1871.51,-507.455
435.62,-1738.777,-501.111
364.293,-1732.837,-521.39
330.62,-1794.162,-516.346
415.135,-1775.327,-521.84
370.826,-1816.215,-495.962
520.934,-1753.912,-505.465
468.107,-1866.037,-521.043
411.129,-1716.681,-485.559
347.503,-1857.391,-497.197
460.841,-1832.089,-523.966
411.351,-1774.605,-514.829
349.213,-1778.606,-500.122
402.028,-1795.33,-519.546
458.609,-1776.19,-493.351
404.032,-1707.668,-510.901
465.299,-1820.257,-501.733
491.685,-1711.01,-520.773
497.474,-1803.934,-486.601
330.569,-1760.506,-506.061
359.072,-1764.993,-513.339
360.511,-1839.49,-495.388
461.135,-1826.935,-496.734
369.116,-1834.341,-496.442
498.144,-1710.249,-510.641
417.441,-1745.808,-511.917
385.048,-1747.606,-509.901
432.452,-1828.888,-499.054
353.092,-1753.782,-528.01
487.386,-1689.938,-488.334
441.058,-1728.596,-510.968
437.926,-1858.718,-502.457
407.31,-1873.436,-508.206
346.881,-1788.988,-515.983
500.561,-1828.436,-494.804
502.854,-1812.025,-515.076
414.418,-1733.683,-496.655
473.5,-1816.933,-491.862
520.834,-1756.036,-525.164
444.176,-1709.229,-518.389
458.89,-1693.134,-518.625
469.124,-1783.177,-524.914
393.696,-1729.217,-525.271
437.281,-1748.043,-500.81
529.797,-1833.723,-518.359
486.492,-1838.182,-512.993
410.691,-1687.091,-493.215
453.996,-1742.019,-507.012
392.186,-1757.921,-502.001
409.898,-1843.199,-490.896
329.14,-1761.251,-498.76
362.328,-1717.073,-490.851
337.723,-1778.31,-487.151
340.535,-1773.869,-526.253
352.873,-1751.431,-516.995
462.18,-1745.977,-494.394
323.717,-1835.112,-508.771
443.713,-1733.715,-519.461
464.452,-1866.923,-501.391
335.805,-1840.051,-497.044
377.008,-1743.076,-520.341
360.99,-1710.829,-500.662
373.619,-1807.205,-494.804
398.763,-1861.009,-492.307
524.504,-1734.861,-490.596
431.874,-1869.718,-524.504
435.568,-1752.072,-514.915
422.492,-1773.886,-509.439
375.413,-1820.706,-516.659
365.047,-1872.947,-480.483
475.753,-1836.781,-516.387
365.389,-1744.604,-484.201
421.028,-1741.888,-500.699
449.197,-1800.188,-510.529
348.824,-1864.666,-503.525
469.982,-1847.083,-507.408
504.152,-1742.761,-501.859
484.533,-1735.59,-510.792
465.607,-1860.895,-496.64
443.198,-1812.769,-518.454
478.976,-1745.252,-511.7
329.788,-1815.885,-493.929
522.923,-1727.569,-485.903
389.186,-1888.14,-515.627
387.593,-1844.989,-486.23
466.439,-1699.805,-495.894
334.008,-1748.127,-484.425
401.461,-1754.753,-525.434
424.801,-1778.355,-483.089
447.435,-1739.655,-485.915
434.62,-1699.229,-523.5
495.183,-1784.707,-522.592
445.623,-1846.866,-496.941
464.214,-1736.341,-510.987
344.357,-1725.519,-497.557
455.264,-1754.568,-515.225
424.537,-1845.509,-506.084
500.172,-1784.481,-489.633
386.413,-1819.614,-525.288
518.834,-1770.05,-497.923
489.628,-1794.614,-487.041
379.355,-1832.944,-499.445
536.467,-1817.015,-505.433
473.949,-1737.479,-496.532
500.302,-1786.899,-481.228
397.984,-1690.757,-515.621
513.006,-1719.081,-496.284
539.442,-1753.724,-494.913
495.878,-1810.567,-489.843
385.872,-1852.291,-498.61
435.581,-1783.121,-521.13
401.138,-1778.175,-499.726
368.35,-1795.634,-486.3
340.526,-1773.56,-520.907
335.406,-1727.692,-527.716
424.153,-1771.194,-518.551
435.125,-1772.346,-517.78
490.883,-1795.312,-523.135
345.033,-1753.787,-495.421
397.64,-1760.219,-504.891
370.315,-1764.617,-506.897
404.071,-1809.619,-508.222
520.349,-1846.563,-500.907
390.517,-1825.423,-491.996
385.199,-1848.772,-517.008
348.22,-1769.617,-524.995
469.583,-1761.291,-500.075
399.342,-1716.709,-522.349
365.543,-1842.47,-482.461
434.915,-1862.604,-494.518
520.624,-1734.211,-505.566
440.854,-1730.136,-514.758
458.988,-1737.236,-525.22
376.038,-1831.376,-498.717
344.606,-1776.393,-490.136
405.548,-1766.189,-511.569
389.256,-1692.729,-523.445
408.367,-1815.823,-504.823
518.221,-1724.816,-526.514
457.343,-1733.855,-524.687
454.776,-1871.696,-509.369
408.219,-1723.356,-504.886
379.891,-1888.461,-485.824
545.163,-1804.871,-510.002
367.905,-1831.129,-484.917
537.891,-1770.757,-486.359
404.371,-1777.881,-509.898
425.596,-1800.452,-484.432
324.501,-1770.748,-504.061
461.816,-1748.888,-505.691
387.308,-1708.432,-507.536
388.274,-1721.623,-518.345
441.163,-1766.029,-511.573
377.968,-1874.49,-511.297
408.795,-1702.232,-508.8
485.46,-1788.811,-520.506
419.399,-1790.885,-517.684
446.489,-1704.835,-505.024
369.064,-1880.295,-508.23
409.606,-1814.156,-492.292
452.154,-1729.602,-491.41
421.44,-1753.951,-489.242
543.611,-1808.641,-495.478
339.552,-1843.759,-504.301
449.21,-1678.707,-514.288
460.605,-1872.148,-493.244
409.652,-1714.829,-508.489
505.582,-1786.621,-482.323
385.827,-1853.628,-504.667
506.026,-1865.041,-481.028
505.567,-1851.458,-488.936
416.389,-1811.684,-502.098
456.73,-1750.109,-494.91
391.43,-1829.707,-518.467
411.404,-1893.063,-499.251
362.588,-1727.705,-492.732
434.89,-1868.921,-506.292
420.323,-1819.435,-517.338
414.027,-1773.615,-507.541
423.054,-1896.613,-510.17
418.297,-1867.479,-512.251
450.943,-1817.825,-502.188
401.967,-1740.239,-496.416
488.724,-1812.349,-506.659
466.853,-1825.198,-511.355
469.511,-1830.425,-505.353
477.58,-1846.834,-485.765
513.817,-1781.03,-508.112
462.966,-1812.987,-499.568
389.137,-1815.161,-507.281
430.01,-1784.811,-498.74
451.821,-1797.034,-503.417
518.074,-1794.611,-513.136
455.934,-1845.693,-487.68
420.09,-1860.903,-515.944
460.255,-1762.387,-510.287
524.737,-1752.761,-528.005
479.129,-1810.534,-518.707
338.44,-1846.934,-484.125
445.272,-1739.428,-513.311
351.271,-1775.794,-506.416
482.082,-1880.635,-501.808
454.014,-1678.948,-520.67
413.177,-1899.027,-504.791
424.889,-1736.4,-485.366
499.672,-1839.652,-502.247
445.795,-1835.982,-509.45
501.931,-1759.528,-494.816
468.42,-1751.534,-506.283
449.55,-1755.662,-516.949
367.637,-1784.222,-525.2
415.032,-1828.738,-517.585
341.395,-1776.91,-494.919
471.738,-1875.36,-497.455
444.397,-1828.214,-512.162
400.809,-1761.291,-506.007
348.668,-1860.655,-525.849
342.076,-1782.928,-514.73
362.194,-1876.819,-497.064
510.087,-1791.264,-511.756
416.218,-1699.896,-497.504
386.872,-1758.555,-492.847
455.87,-1889.4,-521.423
461.31,-1724.058,-488.817
431.993,-1748.282,-482.682
413.533,-1731.526,-497.883
499.439,-1822.449,-490.553
466.435,-1801.113,-523.187
410.868,-1767.555,-499.491
481.132,-1828.154,-489.398
350.165,-1819.712,-526.118
345.787,-1778.497,-491.373
449.703,-1781.924,-500.674
359.279,-1746.81,-508.57
470.988,-1730.445,-493.831
446.946,-1729.71,-515.401
