x,y,z,x,y,z
10.378,-16.463,-210.456,9.417367518319956,-18.50743767025029,-241.29896655849063
88.23,73.136,-228.815,80.59555713882878,61.87873247559069,-262.11595879153776
-73.051,38.702,-196.655,-65.3033315872837,32.47823483799958,-230.1418899677653
-48.669,101.022,-235.335,-41.822660533265214,92.21155750515676,-266.647821732264
-18.625,-75.558,-205.822,-18.39510800924928,-70.64355229550489,-236.8920538283951
61.833,31.227,-234.159,56.26150432249309,23.10132833577365,-264.4485744283417
-95.036,-47.856,-218.978,-88.80390306448345,-46.24608206750941,-248.26231303142688
-33.513,-52.497,-223.602,-31.90104917855362,-50.32303916033025,-252.61453585428663
-99.856,-23.295,-236.617,-92.84731552031066,-24.497456363586863,-265.26719352800035
-25.563,-46.19,-199.071,-24.41574901098648,-44.1194276840649,-231.0716793108064
89.193,-69.169,-218.171,82.22164797389343,-69.74876341470953,-248.3217900146545
85.935,75.772,-214.799,78.2470120741067,64.40559100578007,-248.9406886217319
76.404,60.024,-192.621,70.07749382786263,49.65959483478408,-227.9903427164904
38.08,18.266,-217.401,34.96974326231843,12.065003322645673,-248.1554458717676
51.986,-52.217,-214.984,47.61415855440618,-52.29896505782615,-245.1491068624672
47.055,-80.293,-239.998,42.89839444451452,-78.44521854009601,-268.25830591177976
37.209,102.666,-224.633,34.56964514437632,91.7924037400323,-256.8060147652984
40.874,-37.205,-223.997,37.21437921179117,-38.607469163127455,-253.31411291208929
-39.944,-36.628,-194.301,-37.10351128776069,-35.56673340972412,-226.9632836315025
9.718,-7.333,-235.855,8.496819595321409,-10.71948908416188,-264.23186734190455
82.269,83.245,-222.278,74.93196297035037,71.88620184349361,-255.9355035538344
-64.442,-40.542,-194.122,-59.9693786488458,-39.05599166620126,-226.3973581550725
-0.143,5.289,-225.471,-0.3218280502908295,1.2983806172077583,-254.87774576136945
-52.861,80.011,-212.388,-46.09514585768371,71.58396710173598,-244.64244706375788
28.569,-95.854,-204.326,25.710001751419973,-90.25866987014342,-235.85053545004376
88.109,39.163,-206.051,80.36942956204413,29.513899707963464,-239.748920381356
24.462,24.812,-221.474,22.6133936251336,18.364519198364714,-251.74335130184764
-47.434,85.091,-199.117,-40.99182408745865,76.24663077156418,-232.78190237088617
-60.122,64.837,-231.988,-52.77222822146776,57.23533068445678,-262.5325795974192
-30.555,88.336,-234.509,-26.007931238680523,79.53755401310447,-265.1145967577545
-67.43,-59.904,-210.03,-63.42680416999273,-56.72231546222984,-240.0976188204606
75.465,-13.259,-205.628,68.98474929996372,-18.070650892902805,-237.685053030052
-118.56,11.405,-204.467,-108.37007233297096,6.998722798546506,-236.70548972514945
60.703,-67.732,-226.185,55.50354598841682,-66.98467987388136,-255.5277614601292
54.539,83.862,-229.48,49.96237888408988,73.2362528895194,-261.4365406135445
104.157,-60.224,-226.914,96.4590077015006,-63.28547433328355,-256.45668461978806
36.843,-62.108,-230.499,33.36252114053149,-61.23100155924025,-259.03031246431794
27.537,117.209,-214.445,26.12730535458264,106.20639727027,-247.2110675333465
68.766,50.314,-228.982,62.59578767896216,40.49281585536066,-260.6369798517897
-107.288,31.574,-228.579,-97.49800885432072,25.989558261147145,-259.58265935228286
-21.237,-16.607,-192.433,-19.493024887980244,-17.861890484571543,-225.74535023479268
49.017,62.149,-210.938,44.87165256215839,52.636182448113,-243.5807102961304
39.256,-42.837,-226.597,35.70940638489999,-43.658425735551006,-255.597991300667
63.54,-7.16,-222.653,57.642629645394216,-12.24195802800005,-252.90083721056843
-121.197,8.827,-238.415,-111.73841100428828,4.598753341155871,-268.6112092625444
8.804,103.427,-214.917,9.608419086530995,93.07706886600468,-247.1102007095696
94.838,10.973,-191.775,87.11515191077174,3.143928327201463,-226.2287265820177
27.837,-20.689,-214.409,25.41177783300556,-23.08281148754314,-244.75437928601127
-42.594,83.507,-190.788,-36.59767290673325,74.61708030227035,-225.4291345472056
38.512,-36.661,-208.939,35.211713879071745,-37.56469859383352,-239.85694890532545
117.393,27.179,-233.928,107.81972293334692,16.148018543430872,-266.77530918054646
-26.347,-61.064,-218.686,-25.1930532679378,-58.17147640831447,-248.0886726628484
-11.51,-119.152,-230.125,-12.723801756385368,-111.22030239469116,-259.8620707368436
-60.899,97.573,-235.203,-52.87043710178629,89.13986849958518,-266.6878285452968
-75.218,79.613,-213.48,-65.8745341804813,71.3856386419901,-246.22182301584525
2.596,12.9,-211.051,2.709034683466397,8.147390653994382,-242.11212311282168
33.928,59.389,-194.542,31.284291399208765,50.39450259837779,-228.9262155222099
-46.13,36.34,-214.467,-40.89449007925688,30.28922401729337,-245.5705322237404
119.125,33.726,-195.733,109.43863296256504,22.90414534884945,-231.26657512952173
112.194,-14.587,-196.334,103.43037869675364,-21.60586953456062,-229.5663884468408
-21.996,82.164,-195.275,-18.36468473027656,73.22077943846732,-229.1826836750228
-43.053,-61.673,-211.848,-40.75584705880853,-58.28820871994446,-241.93404741103512
20.285,-12.708,-196.343,18.26120255448007,-15.203184736193094,-229.37629473540647
3.076,64.651,-223.74,3.637062330925565,55.99311584865077,-254.48829369515468
-2.869,1.485,-204.728,-2.3512633596165005,-2.111804965631544,-236.4738699300165
38.906,-54.94,-191.578,35.61234886247894,-53.56501488201956,-224.80679118894017
-16.896,-21.444,-212.259,-5.428349654363711,-14.354869745492389,-250.3008812025515
115.789,-34.869,-199.004,87.9639476125356,-29.24020691922377,-235.6797436806117
35.859,68.679,-192.614,37.15450171918467,73.14348402921729,-255.6749638790692
-119.668,16.353,-224.449,-105.7084647515312,23.18476662071877,-269.405113262266
-3.632,-7.257,-201.355,8.72595373325394,-5.111352002045494,-233.9724407277893
-34.518,-19.61,-236.947,-31.857672588027548,-21.135965742507164,-264.86220982831173
41.413,-100.771,-227.487,37.77766570437959,-96.14017312323584,-256.8344157919227
85.197,-78.095,-222.254,78.54561280230067,-77.80907658953315,-252.05813875921424
80.796,-21.253,-239.436,73.76777440287594,-26.526542396464365,-268.6833405915434
-48.953,-24.62,-194.659,-45.07034522364802,-24.87194845925774,-227.3053770416661
-16.986,-38.061,-232.781,-16.21059398949342,-37.7496191637318,-260.9454707087451
35.289,47.195,-228.649,32.31001523153929,38.97312992155768,-259.0657030061898
75.073,-79.643,-201.964,69.4524493464194,-77.89780047651644,-233.2869022406332
44.569,-82.67,-196.432,40.86086951871994,-78.73222423739416,-228.66271561555504
0.464,61.148,-208.891,1.1151033517817448,52.87959078965267,-241.0162381127832
23.761,48.056,-197.13,22.070689630022343,40.2235784092863,-230.8183995985076
-68.974,15.538,-207.228,-62.31937182064908,11.213377687284902,-238.79318833684303
-94.477,-43.612,-228.535,-88.2015815621968,-42.728691311182885,-257.2021626987978
33.479,25.817,-217.851,30.602992322532742,19.307576848484807,-248.80375440379072
52.207,61.82,-218.847,47.59797241933436,52.1498495403297,-250.9058424000021
71.186,31.312,-220.136,64.95929092160499,22.917405996373823,-251.6769437630985
93.8,72.925,-237.203,85.60283332059024,61.440052853065886,-270.68667646442555
54.373,-56.87,-212.275,49.91141867959757,-56.60654821066345,-242.694594222737
52.661,-80.711,-209.163,48.34302575572918,-78.00082069875525,-239.84712475992416
71.574,-92.035,-237.906,66.28981197523221,-90.33145350429434,-266.6819054932636
-47.951,18.127,-198.829,-43.35281983047911,13.754250495001452,-231.5554393788333
-89.016,65.12,-197.733,-79.38071535083179,57.47818975980236,-231.92011669166817
48.964,-109.554,-234.261,45.0960948769594,-104.84352930905418,-263.5411940459514
29.701,-118.465,-216.102,26.649360020961485,-111.45340218915028,-246.8403395869279
3.907,-81.31,-223.191,2.30256560711868,-76.9495330079868,-252.5815059579029
67.632,86.339,-237.972,61.76010133901426,75.59802146351076,-270.2900891721443
