orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
-40.9249,-3.7246,-202.3233,-44.0517,-4.1118,-201.3612
14.1753,33.788,-232.5916,15.7729,36.6645,-235.1853
45.145,86.1024,-216.7163,50.3341,92.0819,-216.7199
-15.8306,-64.116,-206.2144,-17.0537,-70.8891,-206.1514
26.7782,44.8554,-222.8446,29.8149,48.6684,-224.3513
-80.1793,8.0491,-239.6074,-86.5609,9.2397,-241.2888
-55.052,58.2744,-239.4,-60.1463,62.1803,-240.7544
85.8464,41.7684,-199.7391,93.9654,46.2629,-198.177
-2.8932,89.102,-228.5777,-3.2105,94.748,-229.739
78.5758,-16.8416,-199.1958,85.2755,-17.1601,-198.8909
-32.9068,-25.3802,-221.8464,-35.5618,-27.7525,-223.5979
74.3062,-66.5132,-234.5959,78.9545,-70.4742,-237.83
22.4576,62.045,-215.1672,25.2548,66.9212,-215.6876
-47.3533,-67.6122,-210.2999,-50.4994,-74.465,-210.5537
74.2436,19.9185,-195.8046,81.197,22.5637,-194.2864
-57.2739,-60.2147,-207.4911,-61.1246,-66.274,-207.4535
49.2174,-8.6358,-207.9223,53.8203,-9.0104,-208.5035
-39.7506,61.2273,-218.4443,-43.5585,65.7077,-218.724
60.6774,-29.5671,-192.2395,65.6741,-31.9492,-191.1167
57.4912,12.9133,-196.7182,63.072,14.5457,-195.4211
-86.4579,-30.489,-221.0892,-92.7165,-32.4604,-222.0299
-3.5824,-61.732,-225.6613,-4.106,-67.6644,-227.8836
-45.4612,23.2886,-231.3416,-49.272,25.3176,-233.3472
64.7497,2.43,-204.5522,70.8354,3.493,-204.4864
13.0835,-3.2298,-196.3329,14.3901,-3.7794,-194.9451
-31.2721,-46.127,-214.607,-33.6652,-50.8367,-215.5643
37.6311,-32.6688,-220.0141,40.7052,-35.4234,-222.1975
57.0463,41.0851,-220.6312,62.8761,45.0442,-221.5662
91.3224,-36.9114,-232.6761,97.8612,-37.6692,-235.5021
-60.8561,73.5163,-235.3367,-66.7263,78.1622,-235.7627
72.2061,-4.7463,-210.2154,78.7179,-3.9566,-210.9362
22.5731,-40.2686,-196.4582,24.3211,-44.5628,-195.3884
-4.0881,97.6336,-201.7389,-4.1624,103.7689,-200.5339
95.0801,-18.7067,-226.0374,102.4973,-17.8969,-228.0921
32.6177,52.2251,-218.7658,36.3515,56.5797,-219.6972
-25.4551,34.5798,-190.0787,-27.5101,37.3414,-187.3805
63.175,-46.4121,-225.3232,67.7913,-49.4115,-228.0321
-66.2703,12.1888,-195.3276,-71.4001,13.271,-193.1752
-30.0778,24.3065,-223.8806,-32.5613,26.5321,-225.4782
-81.4807,24.0605,-201.5338,-88.0638,26.4736,-199.7439
-20.2247,74.9678,-227.2252,-22.2701,80.0026,-228.3785
-16.1099,-72.9749,-220.5862,-17.4012,-80.1727,-222.0347
-11.7012,-1.0248,-215.4926,-12.3118,-0.9359,-216.5432
-13.3405,-42.1489,-206.6901,-14.3635,-46.717,-206.7528
-43.7665,-67.0438,-207.1991,-46.6931,-73.9656,-207.1012
-65.2941,32.1678,-229.0354,-70.954,34.9535,-230.0057
6.7774,39.856,-192.9229,7.8791,43.201,-190.6857
90.8765,3.1308,-202.5578,98.8398,5.1682,-202.132
54.6792,62.8424,-204.0235,60.6993,68.0084,-202.9306
33.6034,27.2485,-220.4881,37.1766,29.9022,-222.0585
6.6628,-29.2557,-232.7396,7.129,-32.0461,-235.8416
55.7991,-20.8567,-225.551,60.4462,-21.8477,-228.1093
-13.3402,64.7583,-238.1567,-14.5843,69.1415,-240.3774
-6.278,-34.356,-237.3084,-6.9327,-37.5107,-240.6497
-32.0353,-3.3577,-226.7247,-34.6135,-3.4393,-228.8355
51.346,-11.6316,-225.2548,55.8145,-11.9573,-227.7173
26.1373,59.0701,-231.0269,29.023,63.5575,-232.9053
89.6689,26.3265,-219.8748,97.7763,30.1822,-220.4081
-61.9347,-10.4021,-217.3704,-66.8235,-11.0195,-218.2099
85.2242,44.3222,-200.9817,93.3519,48.9631,-199.5038
18.7519,-95.3263,-238.0141,19.3588,-103.276,-240.7511
-21.9165,-28.7504,-209.0275,-23.5611,-31.8321,-209.3063
42.4613,-60.6992,-205.3785,45.3752,-66.3712,-205.9814
71.4076,-64.6189,-194.0183,76.1396,-69.8329,-193.7658
-7.1923,60.8433,-228.2945,-7.7363,65.3064,-230.0004
39.4049,-42.1197,-198.6425,42.5085,-46.2278,-198.1722
-89.0219,7.0867,-198.7483,-95.8434,8.2566,-196.8656
92.725,35.7978,-199.0577,101.2067,40.1022,-197.4915
-6.2608,-41.9509,-221.4559,-6.869,-46.1781,-223.4302
-41.4772,90.8131,-229.4951,-45.8796,96.1863,-229.8674
28.0465,-52.4643,-236.4708,29.8684,-56.721,-239.8546
-25.9605,-70.5401,-217.9549,-27.8396,-77.5963,-219.097
-79.7727,-48.132,-207.9563,-85.2001,-52.4378,-207.9509
-43.6476,65.1065,-202.9462,-47.6914,69.8061,-201.4489
-54.4556,-23.6344,-228.6415,-58.7494,-25.475,-230.7508
-21.9288,-64.7785,-233.3791,-23.6403,-70.7104,-235.9774
-74.5025,49.3022,-205.5705,-81.0232,53.2671,-203.8939
-44.2161,44.0462,-202.9864,-48.0013,47.577,-201.7024
-52.257,57.5335,-232.062,-57.1746,61.5834,-233.0701
28.0355,80.5567,-218.633,31.4083,86.2417,-219.1522
35.8777,-20.2905,-194.9894,39.0954,-22.4087,-193.6714
81.6904,18.093,-194.0441,89.1033,20.7822,-192.3649
-12.0875,-32.4379,-208.8845,-12.9764,-35.9957,-209.2457
-54.2676,-38.7129,-223.0482,-58.3763,-42.1571,-224.708
-10.8743,61.6946,-217.4507,-11.7164,66.3594,-218.1684
12.229,-64.9785,-239.4325,12.7456,-70.4838,-242.7726
-49.6236,-48.4934,-227.0149,-53.2953,-52.8625,-229.0248
5.8381,-60.3826,-219.813,5.9923,-66.3208,-221.5995
-45.6702,-42.9677,-194.3653,-48.9042,-47.5849,-192.5778
22.8683,-33.0847,-207.458,24.7918,-36.5142,-207.9857
82.8938,30.6412,-227.6359,90.3957,34.513,-228.7594
31.0089,0.8271,-219.7873,34.0153,1.1653,-221.7213
